alpha,n,q1,me,q3
0,300,1.33118957717999,3.22286506760809,3.77490599916993
0.155555555555556,300,0.807105642441285,1.01932026742442,1.48339211870002
0.269230769230769,300,0.679716708330825,0.872800144779373,1.10530517234615
0.355932203389831,300,0.642465721480915,0.838123072963745,1.05013748064929
0.424242424242424,300,0.608730655229567,0.812486177625161,0.993934240688198
0.479452054794521,300,0.576651347681314,0.782176849027025,0.946274903328973
0.525,300,0.557134068336311,0.760307269944456,0.935905661155686
0.563218390804598,300,0.536062529711023,0.73631686319548,0.924924919008887
0.595744680851064,300,0.521589898167109,0.723371305499966,0.910367189472214
0.623762376237624,300,0.512683849699009,0.712052845529558,0.901503346494311
0.648148148148148,300,0.506383934970441,0.703718737773426,0.898109227890045
0.669565217391304,300,0.497643499427079,0.694712742817467,0.888695057493024
0.688524590163934,300,0.495106015407627,0.692309453976983,0.885308452556799
0.705426356589147,300,0.492980648557268,0.689326639384299,0.886195009156782
0.720588235294118,300,0.485176934594469,0.680710876469093,0.877507934742549
0.734265734265734,300,0.482809682060104,0.680307517094463,0.871733659618917
0.746666666666667,300,0.478004895512725,0.679929721305452,0.868279676640886
0.75796178343949,300,0.473824903685532,0.679858504408086,0.867574818956107
0.768292682926829,300,0.471050609394412,0.679517868903079,0.866014792982447
0.777777777777778,300,0.466054551265612,0.678644893973146,0.864687253015348
