alpha,n,q1,me,q3,ips
0,300,1.37365053604312,3.18660749066094,3.65127484065852,0
0.120689655172414,300,0.884424312317605,1.31606681834369,2.95857513657329,0.107692307692308
0.12429949509495,300,0.823886625981452,1.23110038300168,2.86851897303823,0.110557280900008
0.183822320454552,300,0.795443255387785,1.08032601345957,2.5607342805605,0.155278640450004
0.241379310344828,300,0.760768705884151,0.934321140078709,1.29493820721987,0.194444444444444
0.283885859146393,300,0.715817393493632,0.903559557719083,1.18859747859535,0.221114561800017
0.3,300,0.706652370937802,0.894956817966281,1.1746379906821,0.230769230769231
0.362068965517241,300,0.696664345174051,0.899648043083663,1.17160854885085,0.265822784810127
0.45044682073866,300,0.654772963931834,0.853706449118083,1.06637649170365,0.310557280900008
0.482758620689655,300,0.657752809739582,0.850881460253833,1.05663513258406,0.325581395348837
0.496270939773014,300,0.656392155777047,0.848937666158401,1.06275395614276,0.331671842700025
0.5,300,0.644914162202593,0.846439541751642,1.06042886399115,0.333333333333333
0.603448275862069,300,0.619120353910521,0.825582514092694,1.00780068879976,0.376344086021505
0.7,300,0.614591198227591,0.817729249309001,1.00164251203078,0.411764705882353
0.724137931034483,300,0.612512647543211,0.815242469918998,0.999222497494584,0.42
0.792850868181436,300,0.596904874269281,0.795192163068564,0.976407123137122,0.442229123600034
0.844827586206897,300,0.594077287407813,0.787604955142252,0.969596097880473,0.457943925233645
0.872083953169103,300,0.593236021880822,0.796201582078262,0.966780989800227,0.465835921350013
0.9,300,0.579860113325242,0.787850147613208,0.958165632024647,0.473684210526316
0.96551724137931,300,0.571821842551782,0.784439534558095,0.95421360913311,0.491228070175439
1,300,0.567481456521496,0.779224395054498,0.947695601181005,0.5
1.08620689655172,300,0.558212705365402,0.763435772125384,0.937920061841819,0.520661157024793
1.20689655172414,300,0.541067965797269,0.740430030996964,0.926433004710193,0.546875
1.23606797749979,300,0.540254657990939,0.748210406942347,0.926851769066435,0.552786404500042
1.32758620689655,300,0.531844144499816,0.730455358669842,0.922146126893581,0.57037037037037
1.44827586206897,300,0.523245919070055,0.724525754304868,0.911757810799472,0.591549295774648
1.56896551724138,300,0.522277665353882,0.716715734264666,0.907232773682742,0.610738255033557
1.6393202250021,300,0.513415508651093,0.71264797110539,0.901554168428694,0.621114561800017
1.68965517241379,300,0.510788840784643,0.711614168375511,0.90155395383127,0.628205128205128
1.81034482758621,300,0.51015348043845,0.705305831316555,0.900870737161817,0.644171779141104
1.93103448275862,300,0.50264883728435,0.69809907669058,0.894005060591577,0.658823529411765
2.05172413793103,300,0.497154938315987,0.694385094707106,0.887830489082329,0.672316384180791
2.17241379310345,300,0.495562478139636,0.692385536717403,0.885267071444116,0.684782608695652
2.29310344827586,300,0.493771115597537,0.693517155410707,0.884823934342902,0.696335078534031
2.41379310344828,300,0.4884983310975,0.686822785037491,0.881073416596302,0.707070707070707
2.53448275862069,300,0.48571628167247,0.680942074780194,0.878998379632558,0.717073170731707
2.6551724137931,300,0.484294149707043,0.680680752996796,0.875042919135038,0.726415094339623
2.77586206896552,300,0.482366515531397,0.680275437703843,0.87135856821429,0.735159817351598
2.89655172413793,300,0.479247584567205,0.67999270147575,0.868387123998283,0.743362831858407
3.01724137931034,300,0.476355311706089,0.680085101985617,0.868137760770412,0.751072961373391
3.13793103448276,300,0.473691017570497,0.679846625260413,0.86751700261587,0.758333333333333
3.25862068965517,300,0.471645947986606,0.679619879073237,0.866480907582903,0.765182186234818
3.37931034482759,300,0.469355310881504,0.679406032390347,0.865504126689371,0.771653543307087
3.47213595499958,300,0.466660248016807,0.678988887269506,0.864831482381662,0.776393202250021
3.5,300,0.465914994706523,0.678802240761947,0.864617799300664,0.777777777777778
